,nazwa,miasto,firma,liczba_graczy,czas_gry,kategoria,poziom_trudnosci,liczba_ocen,miejsce_w_polsce,oceny,języki_rosyjski,bezpieczeństwo_tylko_niskie_napięcie_w_zasięgu_gracza,bezpieczeństwo_dezynfekowane_pokoje,podstawowe_klimatyzowany,podstawowe_możesz_kupić_tutaj_escape_tales,podstawowe_półmrok_w_pokoju,podstawowe_nie_dla_epileptyków,podstawowe_bardzo_wąskie_przejścia,bezpieczeństwo_dezynfekcja_lampami_uvc,podstawowe_gra_bez_aktora,bezpieczeństwo_ograniczony_kontakt_z_innymi_grupami,bezpieczeństwo_oświetlenie_awaryjne,podstawowe_przyjazny_zwierzętom,bezpieczeństwo_dostępny_żel_antybakteryjny,podstawowe_pokój_eliminacyjny_poland_escape,inne_prawdziwy_mistrz_gry,bezpieczeństwo_przycisk_bezpieczeństwa,języki_słowacki,języki_czeski,podstawowe_nie_dla_osób_z_chorobami_serca,podstawowe_nieodpowiednie_dla_osób_z_klaustrofobią,podstawowe_od_18_lat,bezpieczeństwo_drzwi_zawsze_otwarte,bezpieczeństwo_pełen_monitoring,bezpieczeństwo_pełen_kontakt_z_mistrzem_gry,bezpieczeństwo_klucz_bezpieczeństwa,bezpieczeństwo_system_awaryjnego_otwierania_drzwi,języki_angielski,podstawowe_przyjazny_niepełnosprawnym,podstawowe_możliwość_płatności_kartą,bezpieczeństwo_dostępne_rekawiczki,podstawowe_nie_dla_kobiet_w_ciąży,języki_polski,podstawowe_przyjazny_dzieciom,podstawowe_od_16_lat
127,Szlak Nieumarłych,Gliwice,Open The Lock,2-6 osób,80 minut,Thriller,doświadczony,38 opinii,Polska: 128. miejsce,"9 .1
Obsługa:
9,5/10
Klimat:
9,5/10
Trudność wg. graczy:
Trudny
Ilość opinii:
38",0,1,1,1,1,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,1,1,1,1,0,0,1,1,1,1,0,1
128,PRL 2- Dekonspiracja Gieńka,Toruń,Dom Kłódek,2-6 osób,60 minut,Fabularny,doświadczony,29 opinii,Polska: 129. miejsce,"9 .1
Obsługa:
9,7/10
Klimat:
9,4/10
Trudność wg. graczy:
Trudny
Ilość opinii:
29",0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,1,1,0
129,Zdrada w Breslau,Wrocław,Exit19.pl,2-7 osób,75 minut,Kryminalny,doświadczony,496 opinii,Polska: 130. miejsce,"8 .9
Obsługa:
9,7/10
Klimat:
9,6/10
Trudność wg. graczy:
Trudny
Ilość opinii:
496",0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,1,1,0,1,1,0,1,0,0,1,0,1
130,Escape DaVinci,Kraków,WydostanSie Escape Rooms,2-5 osób,75 minut,Przygodowy,śr. zaawansowani,283 opinie,Polska: 131. miejsce,"9 .2
Obsługa:
9,8/10
Klimat:
9,8/10
Trudność wg. graczy:
Średni
Ilość opinii:
283",0,1,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,1,0
131,Postapo,Łódź,Forest Escape,2-6 osób,120 minut,Przygodowy,śr. zaawansowani,110 opinii,Polska: 132. miejsce,"9 .5
Obsługa:
9,7/10
Klimat:
9,7/10
Trudność wg. graczy:
Trudny
Ilość opinii:
110",0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,1,0,1,0,0,0,0,1,1,0,0
132,Świątynia Zagłady,Gliwice,Open The Lock,2-6 osób,80 minut,Fabularny,doświadczony,72 opinie,Polska: 133. miejsce,"8 .9
Obsługa:
9,2/10
Klimat:
9,3/10
Trudność wg. graczy:
Trudny
Ilość opinii:
72",0,1,1,1,1,0,1,0,0,0,1,1,0,1,0,0,1,0,0,0,1,0,0,1,1,1,1,1,0,1,1,1,1,0,1
133,Nieoczekiwana zmiana trasy,Warszawa,Escape Service,2-15 osób,60 minut,Przygodowy,śr. zaawansowani,11 opinii,Polska: 134. miejsce,"9 .6
Obsługa:
10/10
Klimat:
10/10
Trudność wg. graczy:
Trudny
Ilość opinii:
11",0,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,1,1,0,1,1,1,1,1,0,1,0,0
134,Ucieczka z więzienia,Gdańsk,Questrooms,5-8 osób,60 minut,Kryminalny,doświadczony,310 opinii,Polska: 135. miejsce,"9 .4
Obsługa:
9,6/10
Klimat:
9,7/10
Trudność wg. graczy:
Trudny
Ilość opinii:
310",0,1,1,1,0,0,0,0,0,1,0,1,1,1,0,0,1,0,0,0,0,0,1,1,1,1,1,1,0,1,1,0,1,1,0
135,Czarnobyl – ostatnia godzina,Sopot,Questrooms,2-5 osób,60 minut,Historyczny,początkujący,164 opinie,Polska: 136. miejsce,"8 .9
Obsługa:
9,8/10
Klimat:
9/10
Trudność wg. graczy:
Średni
Ilość opinii:
164",0,1,1,1,0,0,0,0,0,1,0,1,1,1,0,0,1,0,0,0,0,0,1,1,0,0,1,1,0,1,1,0,1,1,0
136,El Profesor: Napad Prawie Doskonały,Zakopane,LetMeOut,2-6 osób,90 minut,Kryminalny,śr. zaawansowani,10 opinii,Polska: 137. miejsce,"9 .4
Obsługa:
9,5/10
Klimat:
9,5/10
Trudność wg. graczy:
Trudny
Ilość opinii:
10",0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,1,0,0
137,Komnata Czarnego Pana,Olsztyn,iESCAPE Olsztyn,2-5 osób,60 minut,Fantasy,początkujący,163 opinie,Polska: 138. miejsce,"9 .8
Obsługa:
9,6/10
Klimat:
9,8/10
Trudność wg. graczy:
Średni
Ilość opinii:
163",0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,1,0
138,Wioska Smerfów,Wrocław,HURRY UP,2-4 osoby,60 minut,Przygodowy,śr. zaawansowani,164 opinie,Polska: 139. miejsce,"9 .0
Obsługa:
9,9/10
Klimat:
9,7/10
Trudność wg. graczy:
Średni
Ilość opinii:
164",0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,1,0,0,0,0,0,1,1,0
139,Klątwa Majów,Lublin,LetMeOut,2-6 osób,60 minut,Przygodowy,śr. zaawansowani,7 opinii,Polska: 140. miejsce,"9 .2
Obsługa:
9,7/10
Klimat:
9,7/10
Trudność wg. graczy:
Średni
Ilość opinii:
7",0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,1,0,1,0,0,1,0,0,1,1,0
140,W Krainie Czarów,Bydgoszcz,Park17 Sp. z o.o.,2-4 osoby,60 minut,Przygodowy,początkujący,27 opinii,Polska: 141. miejsce,"9 .1
Obsługa:
9,7/10
Klimat:
9,5/10
Trudność wg. graczy:
Łatwy
Ilość opinii:
27",0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,1,0,1,1,0,1,0,0,1,1,0
141,Sekret Burmistrza,Katowice,Quest Cage Centrum,2-4 osoby,60 minut,Fabularny,śr. zaawansowani,35 opinii,Polska: 142. miejsce,"9 .0
Obsługa:
9,9/10
Klimat:
9,5/10
Trudność wg. graczy:
Średni
Ilość opinii:
35",0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,1,0,0,1,0,1
142,Pętla czasu,Toruń,Dom Kłódek,2-4 osoby,60 minut,Przygodowy,śr. zaawansowani,19 opinii,Polska: 143. miejsce,"8 .9
Obsługa:
9,9/10
Klimat:
9,4/10
Trudność wg. graczy:
Średni
Ilość opinii:
19",0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0,1,0,1,0,0
143,El Cartel,Łódź,QUITZONE,2-6 osób,120 minut,Przygodowy,śr. zaawansowani,29 opinii,Polska: 144. miejsce,"9 .2
Obsługa:
9,9/10
Klimat:
9,8/10
Trudność wg. graczy:
Trudny
Ilość opinii:
29",0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,1
144,Koszmarna Willa - Tylko umarli nie kłamią,Toruń,OPEN THE DOOR,2-6 osób,60 minut,Thriller,doświadczony,15 opinii,Polska: 145. miejsce,"9 .0
Obsługa:
9,8/10
Klimat:
8,9/10
Trudność wg. graczy:
Średni
Ilość opinii:
15",0,1,1,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,1,1,0,0
145,Wampir,Poznań,EXODUS,2-6 osób,60 minut,Horror,śr. zaawansowani,1 064 opinie,Polska: 146. miejsce,"9 .5
Obsługa:
9,8/10
Klimat:
9,8/10
Trudność wg. graczy:
Trudny
Ilość opinii:
1064",0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0,1,1,0,0,1,1,1,0,0
146,Tajemnica Alchemika,Kraków,Combinator Kraków,2-5 osób,60 minut,Historyczny,śr. zaawansowani,135 opinii,Polska: 147. miejsce,"8 .7
Obsługa:
8,8/10
Klimat:
9,7/10
Trudność wg. graczy:
Średni
Ilość opinii:
135",0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,1,0,1
147,5 Morderstw,Gdańsk,Questrooms,2-2 osoby,60 minut,Kryminalny,śr. zaawansowani,242 opinie,Polska: 148. miejsce,"9 .1
Obsługa:
9,9/10
Klimat:
9,2/10
Trudność wg. graczy:
Średni
Ilość opinii:
242",0,1,1,0,0,1,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,1,1,1,1,1,0,1,1,0,1,0,1
148,Chata Wiedźmy,Warszawa,Escape Room Majdańska 18 Warszawa,2-4 osoby,60 minut,Przygodowy,śr. zaawansowani,365 opinii,Polska: 150. miejsce,"8 .9
Obsługa:
9,5/10
Klimat:
9,6/10
Trudność wg. graczy:
Trudny
Ilość opinii:
365",0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,0,1,1,0
149,Szaman,Poznań,EXODUS,1-6 osób,60 minut,Przygodowy,śr. zaawansowani,32 opinie,Polska: 149. miejsce,"8 .6
Obsługa:
9,7/10
Klimat:
9,1/10
Trudność wg. graczy:
Średni
Ilość opinii:
32",0,1,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,1,1,0
150,Wybudzenie,Szczyrk,Chata Tajemnic,1-2 osoby,60 minut,Fabularny,doświadczony,10 opinii,Polska: 151. miejsce,"8 .8
Obsługa:
10/10
Klimat:
9,4/10
Trudność wg. graczy:
Trudny
Ilość opinii:
10",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
151,Pokój hotelowy - miejsce zabójstwa,Warszawa,Escape Room Majdańska 18 Warszawa,2-4 osoby,75 minut,Kryminalny,doświadczony,142 opinie,Polska: 152. miejsce,"9 .2
Obsługa:
9,8/10
Klimat:
9,3/10
Trudność wg. graczy:
Trudny
Ilość opinii:
142",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,0,1
152,Sex Room,Warszawa,Black Cat Escape Room,2-10 osób,60 minut,Fabularny,początkujący,1 156 opinii,Polska: 153. miejsce,"8 .8
Obsługa:
9,9/10
Klimat:
9,5/10
Trudność wg. graczy:
Średni
Ilość opinii:
1156",1,1,1,1,0,0,0,0,0,0,1,1,1,1,0,0,1,0,0,0,0,0,1,1,1,0,1,1,1,0,1,0,1,0,1
153,Rozdział I: Szepty,Łódź,Forest Escape,2-6 osób,120 minut,Thriller,śr. zaawansowani,29 opinii,Polska: 154. miejsce,"9 .6
Obsługa:
9,8/10
Klimat:
9,9/10
Trudność wg. graczy:
Trudny
Ilość opinii:
29",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,1,0,0,0,0,1,1,0,0
154,Se7en,Szczecin,ESC Room,2-6 osób,60 minut,Thriller,doświadczony,160 opinii,Polska: 156. miejsce,"9 .6
Obsługa:
9,9/10
Klimat:
9,9/10
Trudność wg. graczy:
Trudny
Ilość opinii:
160",0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,1,0,0,1,0,1
155,Skarbówka - Tajemnicza Zbrodnia,Wrocław,Exit19.pl,2-7 osób,70 minut,Fabularny,śr. zaawansowani,137 opinii,Polska: 155. miejsce,"9 .2
Obsługa:
9,8/10
Klimat:
9,6/10
Trudność wg. graczy:
Trudny
Ilość opinii:
137",0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0,1,1,0,1,0,0,1,0,1
156,Zdążyć przed patologiem,Sopot,Questrooms,2-5 osób,60 minut,Kryminalny,doświadczony,89 opinii,Polska: 158. miejsce,"9 .0
Obsługa:
9,7/10
Klimat:
9,3/10
Trudność wg. graczy:
Trudny
Ilość opinii:
89",0,1,1,0,0,0,0,0,0,1,0,1,1,1,0,0,1,0,0,0,1,0,1,1,1,1,1,0,0,1,1,0,1,1,0
157,Prosektorium,Wrocław,Secret Room & Brain Code,2-6 osób,90 minut,Horror,początkujący,261 opinii,Polska: 157. miejsce,"9 .1
Obsługa:
9,7/10
Klimat:
9,5/10
Trudność wg. graczy:
Średni
Ilość opinii:
261",0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,1,0,0,1,1,0,1
158,Morderstwo w Orient Expressie,Chorzów,LOFTescape,2-5 osób,60 minut,Kryminalny,początkujący,272 opinie,Polska: 159. miejsce,"8 .9
Obsługa:
9,8/10
Klimat:
9,6/10
Trudność wg. graczy:
Średni
Ilość opinii:
272",0,0,1,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,1,1,0,1,0,0,0,1,0,1,0,0
159,Sacramentum,Bydgoszcz,Fabryka Czasu,2-5 osób,75 minut,Horror,doświadczony,20 opinii,Polska: 160. miejsce,"8 .8
Obsługa:
8,6/10
Klimat:
9,3/10
Trudność wg. graczy:
Trudny
Ilość opinii:
20",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1
160,W gąszczu tajemnic,Katowice,Quest Cage Centrum,2-4 osoby,60 minut,Fabularny,śr. zaawansowani,121 opinii,Polska: 161. miejsce,"8 .6
Obsługa:
9,8/10
Klimat:
9/10
Trudność wg. graczy:
Trudny
Ilość opinii:
121",0,0,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,1,1,0,1,0,1,0,1,1,0,1
161,Magia i Miecz,Białystok,Unlocked - Escape Room,2-5 osób,60 minut,Fantasy,doświadczony,9 opinii,Polska: 164. miejsce,"9 .5
Obsługa:
9,9/10
Klimat:
9,5/10
Trudność wg. graczy:
Trudny
Ilość opinii:
9",0,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,1,0
162,Cela nr 4,Warszawa,Wyjście Awaryjne,2-10 osób,60 minut,Kryminalny,śr. zaawansowani,285 opinii,Polska: 162. miejsce,"9 .1
Obsługa:
9,4/10
Klimat:
9,4/10
Trudność wg. graczy:
Trudny
Ilość opinii:
285",0,1,1,0,0,0,1,0,0,1,0,1,1,1,0,0,1,0,0,0,0,0,0,1,1,0,1,1,0,0,1,0,1,1,0
163,Protokół C.H.I.M.E.R.A.,Kraków,Gamescape Kraków,2-6 osób,65 minut,Akcja,śr. zaawansowani,48 opinii,Polska: 163. miejsce,"8 .9
Obsługa:
9,8/10
Klimat:
9,1/10
Trudność wg. graczy:
Średni
Ilość opinii:
48",0,1,1,1,0,0,0,0,0,0,1,1,1,1,0,0,1,0,0,0,0,0,1,1,1,0,0,1,0,1,1,1,1,1,0
164,Ostatni Egzorcyzm,Gdynia,WALKOUT,2-6 osób,60 minut,Thriller,śr. zaawansowani,14 opinii,Polska: 166. miejsce,"9 .6
Obsługa:
9,8/10
Klimat:
9,8/10
Trudność wg. graczy:
Trudny
Ilość opinii:
14",0,1,1,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,1,1,1,1,0,1,0,0
165,The Moonshiner,Gdańsk,Zorkout Escape Rooms,2-6 osób,75 minut,Przygodowy,doświadczony,78 opinii,Polska: 165. miejsce,"8 .9
Obsługa:
9,5/10
Klimat:
9,2/10
Trudność wg. graczy:
Trudny
Ilość opinii:
78",0,1,1,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,1,1,0,0,1,0,1,0,1
166,Skazani na śmierć,Bydgoszcz,Fabryka Czasu,3-5 osób,60 minut,Thriller,śr. zaawansowani,137 opinii,Polska: 168. miejsce,"9 .0
Obsługa:
9,8/10
Klimat:
9,3/10
Trudność wg. graczy:
Średni
Ilość opinii:
137",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,1,1,0,0
167,Cela śmierci,Wrocław,Trapped,2-5 osób,60 minut,Kryminalny,śr. zaawansowani,109 opinii,Polska: 167. miejsce,"8 .7
Obsługa:
9,8/10
Klimat:
8,9/10
Trudność wg. graczy:
Średni
Ilość opinii:
109",0,1,1,1,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,1,1,1,1,1,0,0,1,0,1,0,0
168,Kryjówka Genialnego Wynalazcy,Chorzów,Strych,2-5 osób,60 minut,Fabularny,początkujący,166 opinii,Polska: 169. miejsce,"9 .0
Obsługa:
10/10
Klimat:
9,3/10
Trudność wg. graczy:
Średni
Ilość opinii:
166",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
169,Krakowska Bestia,Kraków,Combinator Kraków,2-5 osób,60 minut,Historyczny,początkujący,439 opinii,Polska: 170. miejsce,"8 .3
Obsługa:
9/10
Klimat:
9,1/10
Trudność wg. graczy:
Średni
Ilość opinii:
439",0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,1,1,0
170,Rytuał - Historia prawdziwa,Sopot,Questrooms,2-5 osób,60 minut,Horror,śr. zaawansowani,211 opinii,Polska: 171. miejsce,"9 .2
Obsługa:
9,9/10
Klimat:
9,5/10
Trudność wg. graczy:
Trudny
Ilość opinii:
211",0,1,1,1,0,1,0,0,0,0,0,1,1,1,0,0,1,0,0,0,1,0,0,1,1,1,1,1,0,1,1,1,1,0,1
171,Midnight Killer MK II,Wrocław,Piwnica Quest,3-5 osób,70 minut,Thriller,doświadczony,192 opinie,Polska: 172. miejsce,"9 .0
Obsługa:
9/10
Klimat:
9,6/10
Trudność wg. graczy:
Trudny
Ilość opinii:
192",0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1,1,1,1,1,1,0,0,1,1,1,0,0
172,Statek Piratów,Kraków,Combinator Kraków,2-5 osób,60 minut,Przygodowy,doświadczony,389 opinii,Polska: 173. miejsce,"9 .1
Obsługa:
9,4/10
Klimat:
9,8/10
Trudność wg. graczy:
Trudny
Ilość opinii:
389",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,1,1,0
173,Jaskinia Bazyliszka,Częstochowa,Dom Tajemnic,2-5 osób,60 minut,Przygodowy,śr. zaawansowani,6 opinii,Polska: 174. miejsce,"9 .5
Obsługa:
10/10
Klimat:
9,7/10
Trudność wg. graczy:
Trudny
Ilość opinii:
6",0,1,1,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,1,0,1,1,1,0,0,1,0,1,1,0,1,1,0
174,Sekret Profesora Lipnitzkiego,Kraków,Lock House,2-5 osób,60 minut,Thriller,śr. zaawansowani,329 opinii,Polska: 175. miejsce,"9 .3
Obsługa:
9,9/10
Klimat:
9,8/10
Trudność wg. graczy:
Trudny
Ilość opinii:
329",0,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,1,0,1,1,0,0,1,0,1,0,1
175,Wiedźmowa Księga,Poznań,Find a Way,2-5 osób,75 minut,Przygodowy,śr. zaawansowani,25 opinii,Polska: 176. miejsce,"8 .8
Obsługa:
9,1/10
Klimat:
9,2/10
Trudność wg. graczy:
Średni
Ilość opinii:
25",0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,1,1,0,0,1,0,0,1,1,0
176,Łódź Podwodna,Warszawa,Room Escape Warszawa,2-5 osób,60 minut,Przygodowy,śr. zaawansowani,119 opinii,Polska: 178. miejsce,"8 .7
Obsługa:
9,7/10
Klimat:
9,2/10
Trudność wg. graczy:
Trudny
Ilość opinii:
119",0,1,1,0,0,0,0,0,0,0,1,1,0,1,0,0,1,0,0,0,0,0,1,1,1,1,1,1,1,1,1,0,1,1,0
177,Olimp,Poznań,Key To Be Free,2-6 osób,60 minut,Przygodowy,śr. zaawansowani,19 opinii,Polska: 177. miejsce,"8 .7
Obsługa:
9,9/10
Klimat:
9,2/10
Trudność wg. graczy:
Średni
Ilość opinii:
19",0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,1,1,0,1,1,0,1,0,0,1,1,0
178,Tajemnica Strychu,Bydgoszcz,Fabryka Czasu,2-5 osób,60 minut,Thriller,śr. zaawansowani,309 opinii,Polska: 179. miejsce,"9 .1
Obsługa:
9,9/10
Klimat:
9,6/10
Trudność wg. graczy:
Trudny
Ilość opinii:
309",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,1,1,0,0
179,Stranger Room,Wrocław,In&Out,2-5 osób,70 minut,Przygodowy,doświadczony,88 opinii,Polska: 180. miejsce,"9 .0
Obsługa:
9,8/10
Klimat:
9,4/10
Trudność wg. graczy:
Trudny
Ilość opinii:
88",0,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,1,1,1,0,0,0,0,0,1,1,0,0
180,Krypta,Wrocław,Secret Room & Brain Code,2-6 osób,90 minut,Przygodowy,śr. zaawansowani,121 opinii,Polska: 181. miejsce,"8 .7
Obsługa:
10/10
Klimat:
9,4/10
Trudność wg. graczy:
Średni
Ilość opinii:
121",0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1,1,0,0,0,0,0,0,1,1,0,1
181,Indiana Jones i Święty Graal,Bytom,Escape Graal,2-5 osób,60 minut,Przygodowy,początkujący,66 opinii,Polska: 182. miejsce,"9 .0
Obsługa:
10/10
Klimat:
9/10
Trudność wg. graczy:
Średni
Ilość opinii:
66",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,1,0
182,Statek Piracki,Grudziądz,Find The Key,2-5 osób,60 minut,Przygodowy,śr. zaawansowani,96 opinii,Polska: 184. miejsce,"9 .9
Obsługa:
10/10
Klimat:
10/10
Trudność wg. graczy:
Średni
Ilość opinii:
96",0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,1,0
183,Operacja Byfyj,Rybnik,Open The Lock,2-5 osób,70 minut,Fabularny,doświadczony,50 opinii,Polska: 185. miejsce,"9 .5
Obsługa:
10/10
Klimat:
9,8/10
Trudność wg. graczy:
Trudny
Ilość opinii:
50",0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,0,0,0,1,1,0,0
184,Fabryka Czekolady,Chorzów,LOFTescape,2-4 osoby,60 minut,Fabularny,śr. zaawansowani,196 opinii,Polska: 186. miejsce,"8 .8
Obsługa:
9,5/10
Klimat:
9,4/10
Trudność wg. graczy:
Średni
Ilość opinii:
196",0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,1,1,1,0
185,Sekretny Gabinet Zegarmistrza,Katowice,LOFTescape,2-3 osoby,60 minut,Fabularny,śr. zaawansowani,40 opinii,Polska: 187. miejsce,"9 .1
Obsługa:
9,9/10
Klimat:
9,3/10
Trudność wg. graczy:
Trudny
Ilość opinii:
40",0,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,1,1,0
186,Schron 2.0,Gdańsk,Podziemna pułapka,2-5 osób,60 minut,Fabularny,śr. zaawansowani,76 opinii,Polska: 188. miejsce,"8 .5
Obsługa:
9,7/10
Klimat:
8,6/10
Trudność wg. graczy:
Trudny
Ilość opinii:
76",0,1,1,1,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,1,1,0,1,0,0,1,0,0,1,0,0
187,Pokój gangstera,Radomsko,Zagadkowo,2-5 osób,60 minut,Kryminalny,śr. zaawansowani,19 opinii,Polska: 189. miejsce,"9 .3
Obsługa:
10/10
Klimat:
9,7/10
Trudność wg. graczy:
Trudny
Ilość opinii:
19",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,1,0,0
188,Czarny Motylek,Wrocław,Fox O'clock,2-5 osób,60 minut,Thriller,śr. zaawansowani,324 opinie,Polska: 190. miejsce,"8 .4
Obsługa:
9,7/10
Klimat:
9,2/10
Trudność wg. graczy:
Średni
Ilość opinii:
324",0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0,1,0,0,0,0,1,1,0,1
189,Peron 9 i 3/4,Wrocław,Trap Jungle,2-4 osoby,90 minut,Fantasy,śr. zaawansowani,105 opinii,Polska: 191. miejsce,"8 .8
Obsługa:
9,8/10
Klimat:
9,6/10
Trudność wg. graczy:
Trudny
Ilość opinii:
105",0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,1,0,0,0,0,1,1,0,0
190,Tajemnice Elfandiru,Legnica,LockER,2-5 osób,90 minut,Fantasy,śr. zaawansowani,25 opinii,Polska: 192. miejsce,"9 .1
Obsługa:
9,8/10
Klimat:
9,7/10
Trudność wg. graczy:
Trudny
Ilość opinii:
25",0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,1,1,1,0,1,0,0,1,0,0,1,1,0
191,Nemo,Poznań,EXODUS,2-5 osób,60 minut,Dla dzieci,początkujący,10 opinii,Polska: 193. miejsce,"10
Obsługa:
10/10
Klimat:
10/10
Trudność wg. graczy:
Łatwy
Ilość opinii:
10",0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,1,1,0
