,nazwa,miasto,firma,liczba_graczy,czas_gry,kategoria,poziom_trudnosci,liczba_ocen,miejsce_w_polsce,wazne1_1,wazne1_2,wazne1_3,wazne1_4,wazne1_5,wazne1_6,wazne1_7,wazne1_8,wazne1_9,wazne1_10,wazne1_11,wazne1_12,wazne1_13,wazne1_14,wazne1_15,wazne1_16,wazne1_17,wazne1_18,wazne1_19,wazne1_20,wazne2_1,wazne2_2,wazne2_3,wazne2_4,wazne2_5,wazne2_6,wazne2_7,wazne2_8,wazne2_9,wazne2_10,wazne2_11,wazne2_12,wazne2_13,wazne2_14,wazne2_15,wazne2_16,wazne2_17,wazne2_18,wazne2_19,wazne2_20,wazne3_1,wazne3_2,wazne3_3,wazne3_4,wazne3_5,wazne3_6,wazne3_7,wazne3_8,wazne3_9,wazne3_10,wazne3_11,wazne3_12,wazne3_13,wazne3_14,wazne3_15,wazne3_16,wazne3_17,wazne3_18,wazne3_19,wazne3_20,oceny
225,Śmierć w Bractwie,Gdańsk,Questrooms,2-5 osób,60 minut,Fabularny,doświadczony,175 opinii,Polska: 228. miejsce,Przyjazny zwierzętom,Możliwość płatności kartą,Od 16 lat,Nie dla epileptyków,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,Pełen monitoring,Pełen kontakt z mistrzem gry,Przycisk bezpieczeństwa,Oświetlenie awaryjne,Tylko niskie napięcie w zasięgu gracza,System awaryjnego otwierania drzwi,Dostępny żel antybakteryjny,Dostępne rekawiczki,Dezynfekowane pokoje,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,angielski,polski,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,"8 .4
Obsługa:
9,6/10
Klimat:
8,8/10
Trudność wg. graczy:
Trudny
Ilość opinii:
175"
226,Browar krasnoludzki,Katowice,Mystery Machinery,2-6 osób,75 minut,Fantasy,doświadczony,15 opinii,Polska: 229. miejsce,Możliwość płatności kartą,Od 16 lat,Półmrok w pokoju,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,Pełen monitoring,Pełen kontakt z mistrzem gry,Drzwi zawsze otwarte,Oświetlenie awaryjne,Tylko niskie napięcie w zasięgu gracza,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,polski,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,"8 .2
Obsługa:
9,1/10
Klimat:
9,3/10
Trudność wg. graczy:
Trudny
Ilość opinii:
15"
227,W krainie Trolli,Toruń,Dom Kłódek,2-5 osób,60 minut,Przygodowy,początkujący,34 opinie,Polska: 230. miejsce,Przyjazny dzieciom,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,Pełen monitoring,Pełen kontakt z mistrzem gry,Drzwi zawsze otwarte,Przycisk bezpieczeństwa,Tylko niskie napięcie w zasięgu gracza,System awaryjnego otwierania drzwi,Dostępny żel antybakteryjny,Dostępne rekawiczki,Dezynfekowane pokoje,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,angielski,polski,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,"8 .3
Obsługa:
9,7/10
Klimat:
8,8/10
Trudność wg. graczy:
Średni
Ilość opinii:
34"
228,Prison Escape,Wrocław,Exit19.pl,2-4 osoby,60 minut,Kryminalny,doświadczony,11 opinii,Polska: 231. miejsce,Klimatyzowany,Możliwość płatności kartą,Pokój eliminacyjny Poland Escape,Od 16 lat,Nie dla epileptyków,Nieodpowiednie dla osób z klaustrofobią,Możesz kupić tutaj Escape Tales,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,Pełen monitoring,Pełen kontakt z mistrzem gry,Drzwi zawsze otwarte,Przycisk bezpieczeństwa,Oświetlenie awaryjne,Tylko niskie napięcie w zasięgu gracza,System awaryjnego otwierania drzwi,Dostępny żel antybakteryjny,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,angielski,polski,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,"8 .5
Obsługa:
9,5/10
Klimat:
9,3/10
Trudność wg. graczy:
Trudny
Ilość opinii:
11"
229,Mroczne Zamczysko - Egzekucja,Toruń,OPEN THE DOOR,2-6 osób,60 minut,Przygodowy,śr. zaawansowani,11 opinii,Polska: 232. miejsce,Pełen monitoring,Pełen kontakt z mistrzem gry,Przycisk bezpieczeństwa,Oświetlenie awaryjne,Tylko niskie napięcie w zasięgu gracza,System awaryjnego otwierania drzwi,Dostępny żel antybakteryjny,Dezynfekowane pokoje,Ograniczony kontakt z innymi grupami,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,polski,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,"9 .0
Obsługa:
9,9/10
Klimat:
9,3/10
Trudność wg. graczy:
Trudny
Ilość opinii:
11"
230,Przeklęty Pierścień,Wrocław,Secret Room & Brain Code,1-4 osoby,60 minut,Przygodowy,początkujący,42 opinie,Polska: 234. miejsce,Przyjazny dzieciom,Klimatyzowany,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,Pełen monitoring,Pełen kontakt z mistrzem gry,Przycisk bezpieczeństwa,Tylko niskie napięcie w zasięgu gracza,System awaryjnego otwierania drzwi,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,angielski,polski,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,"8 .3
Obsługa:
9,5/10
Klimat:
9,3/10
Trudność wg. graczy:
Średni
Ilość opinii:
42"
231,Laboratorium Tesli,Katowice,Mystery Machinery,2-5 osób,60 minut,Fabularny,śr. zaawansowani,4 opinie,Polska: 233. miejsce,Gra bez aktora,Możliwość płatności kartą,Od 16 lat,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,Pełen monitoring,Pełen kontakt z mistrzem gry,Drzwi zawsze otwarte,Przycisk bezpieczeństwa,Oświetlenie awaryjne,Tylko niskie napięcie w zasięgu gracza,Dostępny żel antybakteryjny,Dezynfekowane pokoje,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,polski,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,"9 .0
Obsługa:
9,4/10
Klimat:
9,9/10
Trudność wg. graczy:
Trudny
Ilość opinii:
4"
232,Tajemnica Strefy 51,Toruń,Bunkier51,2-4 osoby,60 minut,Przygodowy,śr. zaawansowani,32 opinie,Polska: 235. miejsce,Przyjazny dzieciom,Możliwość płatności kartą,Bardzo wąskie przejścia,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,Pełen monitoring,Pełen kontakt z mistrzem gry,Drzwi zawsze otwarte,Oświetlenie awaryjne,Tylko niskie napięcie w zasięgu gracza,System awaryjnego otwierania drzwi,Dostępny żel antybakteryjny,Dostępne rekawiczki,Dezynfekowane pokoje,Ograniczony kontakt z innymi grupami,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,angielski,polski,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,"8 .6
Obsługa:
9,1/10
Klimat:
9,1/10
Trudność wg. graczy:
Średni
Ilość opinii:
32"
233,Transport,Łódź,QUITZONE,2-6 osób,120 minut,Przygodowy,śr. zaawansowani,7 opinii,Polska: 236. miejsce,Od 16 lat,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,Pełen kontakt z mistrzem gry,Drzwi zawsze otwarte,Tylko niskie napięcie w zasięgu gracza,Dostępny żel antybakteryjny,Ograniczony kontakt z innymi grupami,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,Prawdziwy mistrz gry,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,"9 .3
Obsługa:
10/10
Klimat:
9,8/10
Trudność wg. graczy:
Trudny
Ilość opinii:
7"
234,Muzeum 2.0,Warszawa,Room Escape Warszawa,2-5 osób,60 minut,Przygodowy,śr. zaawansowani,25 opinii,Polska: 237. miejsce,Przyjazny dzieciom,Możliwość płatności kartą,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,Pełen monitoring,Pełen kontakt z mistrzem gry,Drzwi zawsze otwarte,Przycisk bezpieczeństwa,Oświetlenie awaryjne,Tylko niskie napięcie w zasięgu gracza,System awaryjnego otwierania drzwi,Dostępny żel antybakteryjny,Dostępne rekawiczki,Dezynfekowane pokoje,Ograniczony kontakt z innymi grupami,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,angielski,polski,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,"8 .6
Obsługa:
9,6/10
Klimat:
9,1/10
Trudność wg. graczy:
Średni
Ilość opinii:
25"
235,Kolekcjoner,Poznań,Time 4 Secrets,2-5 osób,60 minut,Thriller,śr. zaawansowani,750 opinii,Polska: 238. miejsce,Przyjazny zwierzętom,Klimatyzowany,Nie dla epileptyków,Nie dla kobiet w ciąży,Nieodpowiednie dla osób z klaustrofobią,Półmrok w pokoju,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,Pełen monitoring,Pełen kontakt z mistrzem gry,Klucz bezpieczeństwa,Przycisk bezpieczeństwa,Oświetlenie awaryjne,System awaryjnego otwierania drzwi,Dostępny żel antybakteryjny,Dezynfekowane pokoje,Ograniczony kontakt z innymi grupami,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,angielski,polski,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,"8 .0
Obsługa:
8,7/10
Klimat:
9,2/10
Trudność wg. graczy:
Trudny
Ilość opinii:
750"
236,Vinci,Nowy Sącz,ShareLocked,2-5 osób,60 minut,Fabularny,na pierwszy raz,57 opinii,Polska: 239. miejsce,Przyjazny dzieciom,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,Pełen monitoring,Pełen kontakt z mistrzem gry,Klucz bezpieczeństwa,Tylko niskie napięcie w zasięgu gracza,System awaryjnego otwierania drzwi,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,angielski,polski,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,"8 .8
Obsługa:
10/10
Klimat:
9,6/10
Trudność wg. graczy:
Średni
Ilość opinii:
57"
237,Klątwa Czarnoksiężnika,Łódź,Drzwi Tajemnic,2-5 osób,60 minut,Przygodowy,śr. zaawansowani,28 opinii,Polska: 241. miejsce,Klimatyzowany,Od 16 lat,Nieodpowiednie dla osób z klaustrofobią,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,Pełen monitoring,Pełen kontakt z mistrzem gry,Drzwi zawsze otwarte,Oświetlenie awaryjne,Tylko niskie napięcie w zasięgu gracza,Dezynfekowane pokoje,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,angielski,polski,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,"9 .0
Obsługa:
9,4/10
Klimat:
9,5/10
Trudność wg. graczy:
Średni
Ilość opinii:
28"
238,Fantazja,Wrocław,Piwnica Quest,2-5 osób,60 minut,Abstrakcyjny,początkujący,98 opinii,Polska: 240. miejsce,Przyjazny dzieciom,Klimatyzowany,Nie dla epileptyków,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,Pełen monitoring,Pełen kontakt z mistrzem gry,Drzwi zawsze otwarte,Tylko niskie napięcie w zasięgu gracza,Dostępny żel antybakteryjny,Dostępne rekawiczki,Dezynfekowane pokoje,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,angielski,polski,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,"8 .6
Obsługa:
9,7/10
Klimat:
8,3/10
Trudność wg. graczy:
Łatwy
Ilość opinii:
98"
239,Indiana 2.0,Warszawa,Room Escape Warszawa,2-5 osób,60 minut,Przygodowy,początkujący,28 opinii,Polska: 242. miejsce,Przyjazny niepełnosprawnym,Klimatyzowany,Możliwość płatności kartą,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,Pełen monitoring,Pełen kontakt z mistrzem gry,Drzwi zawsze otwarte,Przycisk bezpieczeństwa,Oświetlenie awaryjne,Tylko niskie napięcie w zasięgu gracza,System awaryjnego otwierania drzwi,Dostępny żel antybakteryjny,Dostępne rekawiczki,Dezynfekowane pokoje,Ograniczony kontakt z innymi grupami,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,angielski,polski,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,"8 .5
Obsługa:
9/10
Klimat:
8,5/10
Trudność wg. graczy:
Trudny
Ilość opinii:
28"
240,Zaginiony Oficer,Poznań,The Bunkier Escape Rooms,2-5 osób,90 minut,Przygodowy,śr. zaawansowani,184 opinie,Polska: 244. miejsce,Klimatyzowany,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,Pełen monitoring,Pełen kontakt z mistrzem gry,Przycisk bezpieczeństwa,Oświetlenie awaryjne,Tylko niskie napięcie w zasięgu gracza,System awaryjnego otwierania drzwi,Dostępny żel antybakteryjny,Dostępne rekawiczki,Dezynfekowane pokoje,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,angielski,polski,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,"9 .0
Obsługa:
9,7/10
Klimat:
9,5/10
Trudność wg. graczy:
Trudny
Ilość opinii:
184"
241,Sherlock's Room,Katowice,Quest Cage,2-5 osób,60 minut,Kryminalny,początkujący,315 opinii,Polska: 243. miejsce,Pełen monitoring,Pełen kontakt z mistrzem gry,Klucz bezpieczeństwa,Dostępny żel antybakteryjny,Dezynfekowane pokoje,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,angielski,polski,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,"8 .6
Obsługa:
9,7/10
Klimat:
9,2/10
Trudność wg. graczy:
Średni
Ilość opinii:
315"
242,Baker Street,Nowy Sącz,ShareLocked,2-5 osób,60 minut,Kryminalny,początkujący,98 opinii,Polska: 245. miejsce,Przyjazny dzieciom,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,Pełen monitoring,Pełen kontakt z mistrzem gry,Klucz bezpieczeństwa,Tylko niskie napięcie w zasięgu gracza,System awaryjnego otwierania drzwi,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,angielski,polski,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,"8 .7
Obsługa:
9,5/10
Klimat:
9,5/10
Trudność wg. graczy:
Średni
Ilość opinii:
98"
243,Oddział psychiatryczny,Gdynia,WALKOUT,2-6 osób,60 minut,Thriller,śr. zaawansowani,162 opinie,Polska: 246. miejsce,Możliwość płatności kartą,Nie dla kobiet w ciąży,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,Pełen monitoring,Pełen kontakt z mistrzem gry,Klucz bezpieczeństwa,Przycisk bezpieczeństwa,Oświetlenie awaryjne,Tylko niskie napięcie w zasięgu gracza,System awaryjnego otwierania drzwi,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,angielski,polski,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,"9 .2
Obsługa:
9,5/10
Klimat:
9,2/10
Trudność wg. graczy:
Trudny
Ilość opinii:
162"
244,Zasypani,Szczecin,ESC Room,2-6 osób,60 minut,Przygodowy,początkujący,91 opinii,Polska: 247. miejsce,Przyjazny dzieciom,Przyjazny zwierzętom,Klimatyzowany,Możliwość płatności kartą,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,Pełen monitoring,Pełen kontakt z mistrzem gry,Przycisk bezpieczeństwa,Tylko niskie napięcie w zasięgu gracza,System awaryjnego otwierania drzwi,Dostępny żel antybakteryjny,Dezynfekowane pokoje,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,angielski,polski,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,"8 .9
Obsługa:
9,9/10
Klimat:
9,4/10
Trudność wg. graczy:
Średni
Ilość opinii:
91"
245,Apokalipsa,Olsztyn,iESCAPE Olsztyn,2-5 osób,60 minut,Przygodowy,eksperci,21 opinii,Polska: 248. miejsce,Przyjazny dzieciom,Przyjazny niepełnosprawnym,Klimatyzowany,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,Pełen monitoring,Pełen kontakt z mistrzem gry,Klucz bezpieczeństwa,Oświetlenie awaryjne,Tylko niskie napięcie w zasięgu gracza,System awaryjnego otwierania drzwi,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,angielski,polski,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,"8 .6
Obsługa:
9,2/10
Klimat:
8,9/10
Trudność wg. graczy:
Trudny
Ilość opinii:
21"
246,Tajna Kwatera Dyktatora,Warszawa,8 Gates Escape Room,2-5 osób,60 minut,Przygodowy,śr. zaawansowani,44 opinie,Polska: 249. miejsce,Przyjazny dzieciom,Możliwość płatności kartą,Możesz kupić tutaj Escape Tales,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,Pełen monitoring,Pełen kontakt z mistrzem gry,Klucz bezpieczeństwa,Oświetlenie awaryjne,Tylko niskie napięcie w zasięgu gracza,System awaryjnego otwierania drzwi,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,angielski,polski,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,"8 .7
Obsługa:
9,6/10
Klimat:
9/10
Trudność wg. graczy:
Średni
Ilość opinii:
44"
247,Laboratorium strachu,Grudziądz,Find The Key,2-6 osób,60 minut,Thriller,doświadczony,92 opinie,Polska: 251. miejsce,Pełen monitoring,Pełen kontakt z mistrzem gry,Drzwi zawsze otwarte,Przycisk bezpieczeństwa,Oświetlenie awaryjne,Tylko niskie napięcie w zasięgu gracza,System awaryjnego otwierania drzwi,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,polski,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,"9 .8
Obsługa:
9,9/10
Klimat:
9,9/10
Trudność wg. graczy:
Trudny
Ilość opinii:
92"
248,Prosektorium,Katowice,LOFTescape,2-5 osób,60 minut,Thriller,początkujący,25 opinii,Polska: 250. miejsce,Klimatyzowany,Od 16 lat,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,Pełen monitoring,Pełen kontakt z mistrzem gry,Drzwi zawsze otwarte,Przycisk bezpieczeństwa,Oświetlenie awaryjne,Dostępny żel antybakteryjny,Dostępne rekawiczki,Dezynfekowane pokoje,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,polski,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,"8 .6
Obsługa:
10/10
Klimat:
9,4/10
Trudność wg. graczy:
Średni
Ilość opinii:
25"
249,Okręt podwodny,Gdańsk,Podziemna pułapka,2-4 osoby,60 minut,Przygodowy,doświadczony,61 opinii,Polska: 252. miejsce,Przyjazny zwierzętom,Klimatyzowany,Możliwość płatności kartą,Od 16 lat,Nie dla epileptyków,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,Pełen monitoring,Pełen kontakt z mistrzem gry,Przycisk bezpieczeństwa,Oświetlenie awaryjne,Tylko niskie napięcie w zasięgu gracza,System awaryjnego otwierania drzwi,Dostępny żel antybakteryjny,Dezynfekowane pokoje,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,polski,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,"9 .0
Obsługa:
9,6/10
Klimat:
9,1/10
Trudność wg. graczy:
Trudny
Ilość opinii:
61"
250,Podróż,Warszawa,Dom Zagadek,2-8 osób,60 minut,Przygodowy,doświadczony,31 opinii,Polska: 253. miejsce,Przyjazny dzieciom,Klimatyzowany,Możliwość płatności kartą,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,Pełen monitoring,Pełen kontakt z mistrzem gry,Drzwi zawsze otwarte,Klucz bezpieczeństwa,Przycisk bezpieczeństwa,Oświetlenie awaryjne,Tylko niskie napięcie w zasięgu gracza,System awaryjnego otwierania drzwi,Dostępny żel antybakteryjny,Dostępne rekawiczki,Dezynfekowane pokoje,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,angielski,polski,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,"8 .4
Obsługa:
9,2/10
Klimat:
8,9/10
Trudność wg. graczy:
Średni
Ilość opinii:
31"
251,Alchemik,Poznań,Key To Be Free,2-6 osób,60 minut,Przygodowy,śr. zaawansowani,14 opinii,Polska: 226. miejsce,Przyjazny dzieciom,Przyjazny niepełnosprawnym,Przyjazny zwierzętom,Możliwość płatności kartą,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,Pełen monitoring,Pełen kontakt z mistrzem gry,Drzwi zawsze otwarte,Przycisk bezpieczeństwa,Oświetlenie awaryjne,Tylko niskie napięcie w zasięgu gracza,System awaryjnego otwierania drzwi,Dostępny żel antybakteryjny,Dezynfekowane pokoje,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,angielski,polski,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,"8 .5
Obsługa:
10/10
Klimat:
9/10
Trudność wg. graczy:
Średni
Ilość opinii:
14"
252,W odległej galaktyce,Bydgoszcz,Break The Brain,2-5 osób,75 minut,Przygodowy,doświadczony,244 opinie,Polska: 254. miejsce,Przyjazny dzieciom,Przyjazny niepełnosprawnym,Przyjazny zwierzętom,Klimatyzowany,Możliwość płatności kartą,Nie dla epileptyków,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,Pełen monitoring,Pełen kontakt z mistrzem gry,Drzwi zawsze otwarte,Przycisk bezpieczeństwa,Oświetlenie awaryjne,Tylko niskie napięcie w zasięgu gracza,System awaryjnego otwierania drzwi,Dostępny żel antybakteryjny,Dezynfekowane pokoje,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,angielski,polski,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,"8 .2
Obsługa:
9,4/10
Klimat:
8,8/10
Trudność wg. graczy:
Trudny
Ilość opinii:
244"
